filesize	gz_filesize	nrows
5799392	24912447173	287615232
5983448	24912447173	287615232
6674424	28673675223	331041232
6807680	28673675223	331041232
6466580	28116546134	324609344
6526580	28116546134	324609344
5434292	23530625569	271664084
5554120	23530625569	271664084
6570168	28614885582	330362764
6780900	28614885582	330362764
5070736	22049241208	254559312
5232388	22049241208	254559312
5395876	23372952840	269841348
5540444	23372952840	269841348
5122972	22962885792	265106880
5315724	22962885792	265106880
5483644	24334269699	280939880
5709976	24334269699	280939880
6218928	26785555743	309238172
6415812	26785555743	309238172
5367740	23514727686	271478200
5495456	23514727686	271478200
5619960	24080581906	278009244
5769528	24080581906	278009244
5262408	23044183407	266047136
5394932	23044183407	266047136
5262032	23115585489	266871452
5483536	23115585489	266871452
5839664	25163035348	290509780
5950948	25163035348	290509780
5910348	25697925519	296685112
6076176	25697925519	296685112
5246240	22461792412	259323988
5362980	22461792412	259323988
5421160	23361083226	269706200
5535752	23361083226	269706200
6057664	26250807122	303068796
6186540	26250807122	303068796
6024968	26166557057	302095992
6202232	26166557057	302095992
5491664	23773748541	274469740
5794764	23773748541	274469740
5497604	23842064408	275259140
5825608	23842064408	275259140
5564340	24081367780	278021796
5803204	24081367780	278021796
6219792	26977070453	311451784
6552260	26977070453	311451784
5504256	23398331758	270135412
5811592	23398331758	270135412
5460932	23280403326	268774044
5768552	23280403326	268774044
5763400	24252287222	279994136
6074912	24252287222	279994136
5443656	23062193219	266254688
5766688	23062193219	266254688
5355812	22873121113	264071328
5660652	22873121113	264071328
6505820	27968538916	322898284
6950384	27968538916	322898284
5665688	24671456034	284832320
5951728	24671456034	284832320
5446664	23606872661	272541284
5795740	23606872661	272541284
6299280	26313814537	303784032
6667740	26313814537	303784032
5635984	23312194490	269131736
5942020	23312194490	269131736
5454432	22688039058	261931648
5863152	22688039058	261931648
6338828	26403381670	304823224
6721800	26403381670	304823224
5780636	23884030737	275737092
5963656	23884030737	275737092
6060388	25363425235	292816676
6332704	25363425235	292816676
6307328	26173178371	302166080
6599080	26173178371	302166080
6200560	25619048843	295768884
6437636	25619048843	295768884
5506048	23774666102	274481208
5838212	23774666102	274481208
5145252	22110864607	255271972
5402236	22110864607	255271972
5665732	24121337669	278477700
5828632	24121337669	278477700
5216568	22114727669	255311824
5406524	22114727669	255311824
5864592	25306897638	292168668
5971944	25306897638	292168668
6020584	25851043530	298453756
6023552	25851043530	298453756
5424252	23269459836	268649272
5510444	23269459836	268649272
6616888	28892897180	333569280
6838860	28892897180	333569280
6602764	28816304576	332684648
6865972	28816304576	332684648
5525856	23895765155	275880092
5609816	23895765155	275880092
6484216	27918832577	322327204
6658520	27918832577	322327204
5527084	23744991460	274138704
5617972	23744991460	274138704
5517860	23709914144	273733652
5591908	23709914144	273733652
5697188	24657916371	284676564
5889552	24657916371	284676564
5122752	22135545004	255555028
5324824	22135545004	255555028
6278004	26830821068	309759840
6444156	26830821068	309759840
5961832	25434007316	293635020
6112084	25434007316	293635020
5788340	24907428489	287556120
5843432	24907428489	287556120
5823656	24962885338	288196668
5960592	24962885338	288196668
6372752	28066177952	324026436
6602856	28066177952	324026436
6403500	28147538343	324965952
6615904	28147538343	324965952
5794004	25216421427	291124080
